,ZIP,State,City,CountyName,12/31/2015,12/31/2019,4/30/2022
23801,94567,CA,Pope Valley,Napa County,387396.0,365545.0,439130.0
23829,95317,CA,El Nido,Merced County,,,761055.0
23855,93932,CA,Lockwood,Monterey County,,,806089.0
23857,95041,CA,Felton,Santa Cruz County,545904.0,681660.0,972754.0
23903,92305,CA,Angelus Oaks,San Bernardino County,225698.0,281642.0,379001.0
23921,93531,CA,Keene,Kern County,359636.0,393058.0,546036.0
23971,94946,CA,Nicasio,Marin County,1444027.0,1557796.0,2461954.0
23991,95922,CA,Camptonville,Yuba County,201561.0,284207.0,354184.0
24004,95224,CA,Murphys,Calaveras County,,320664.0,466880.0
24013,93218,CA,Ducor,Tulare County,123885.0,167016.0,209223.0
24019,96048,CA,Junction City,Trinity County,327029.0,346296.0,441610.0
24020,95526,CA,Bridgeville,Humboldt County,310986.0,363869.0,467949.0
24067,95248,CA,Mokelumne Hill,Calaveras County,207631.0,245948.0,354866.0
24108,93255,CA,Onyx,Kern County,114430.0,143669.0,196761.0
24113,95335,CA,Long Barn,Tuolumne County,,,360246.0
24185,95697,CA,Yolo,Yolo County,,,459927.0
24244,95983,CA,Taylorsville,Plumas County,207110.0,221544.0,284044.0
24245,96084,CA,Round Mountain,Shasta County,,255273.0,331366.0
24277,94963,CA,San Geronimo,Marin County,1080352.0,1129768.0,1593593.0
24315,95450,CA,Jenner,Sonoma County,609580.0,645158.0,981755.0
24323,90743,CA,Seal Beach,Orange County,,,2026063.0
24340,93621,CA,Dunlap,Fresno County,200170.0,247113.0,399972.0
24393,95424,CA,Clearlake,Lake County,142559.0,208600.0,284233.0
24444,95830,CA,Elk Grove,Sacramento County,625208.0,746179.0,1052570.0
24470,95459,CA,Manchester,Mendocino County,513913.0,530322.0,695999.0
24497,92327,CA,Daggett,San Bernardino County,76181.0,99670.0,156847.0
24506,96006,CA,Adin,Modoc County,126926.0,141905.0,166549.0
24566,92322,CA,Crestline,San Bernardino County,153666.0,214600.0,328826.0
24674,92341,CA,Green Valley Lake,San Bernardino County,173011.0,218168.0,363109.0
24707,95527,CA,Burnt Ranch,Trinity County,,342786.0,427750.0
24727,95257,CA,Wilseyville,Calaveras County,208344.0,221275.0,340244.0
24767,96009,CA,Bieber,Lassen County,113563.0,124154.0,164948.0
24801,96065,CA,Montgomery Creek,Shasta County,,215072.0,298299.0
24804,95936,CA,Downieville,Sierra County,230272.0,246504.0,324635.0
24865,95552,CA,Mad River,Trinity County,,310129.0,399694.0
24907,95941,CA,Forbestown,Butte County,173407.0,226191.0,288799.0
24908,96050,CA,Klamath River,Siskiyou County,181762.0,207850.0,255527.0
24968,93541,CA,Lee Vining,Mono County,268615.0,318555.0,422854.0
24975,96105,CA,Chilcoot,Plumas County,223002.0,234848.0,312807.0
25076,95956,CA,Meadow Valley,Plumas County,231133.0,240232.0,302714.0
25086,91759,CA,Lytle Creek,San Bernardino County,356607.0,443106.0,536123.0
25104,94971,CA,Tomales,Marin County,736618.0,830503.0,1126917.0
25114,95554,CA,Myers Flat,Humboldt County,,,464471.0
25156,96125,CA,Sierra City,Sierra County,235293.0,250619.0,335595.0
25167,96128,CA,Standish,Lassen County,209989.0,223997.0,285953.0
25171,93665,CA,Dos Palos,Merced County,125905.0,196858.0,291431.0
25187,93244,CA,Lemon Cove,Tulare County,201548.0,267421.0,404982.0
25189,95970,CA,Colusa,Colusa County,222235.0,266893.0,362288.0
25191,95558,CA,Ferndale,Humboldt County,,,636465.0
25195,95714,CA,Dutch Flat,Placer County,266068.0,331783.0,429496.0
25248,93641,CA,Miramonte,Fresno County,164067.0,198228.0,292968.0
25334,93450,CA,San Ardo,Monterey County,,360614.0,471205.0
25337,96033,CA,French Gulch,Shasta County,181257.0,213104.0,256886.0
25393,96090,CA,Tehama,Tehama County,,,211243.0
25400,96075,CA,Paynes Creek,Tehama County,90359.0,112034.0,161452.0
25445,92060,CA,Palomar Mountain,San Diego County,284482.0,339253.0,535753.0
25526,93207,CA,California Hot Springs,Tulare County,,198172.0,221532.0
25566,92239,CA,Desert Center,Riverside County,,,232042.0
25590,96016,CA,Cassel,Shasta County,,207401.0,288768.0
25611,95419,CA,Occidental,Sonoma County,399795.0,384684.0,472167.0
25617,96121,CA,Milford,Lassen County,208652.0,229166.0,296575.0
