,zip,city,county,12/31/2015,12/31/2019
807,95110,San Jose,Santa Clara,622216.0,819301.0
808,93023,Ojai,Ventura,638992.0,727343.0
809,95819,Sacramento,Sacramento,493105.0,612840.0
810,95519,Mckinleyville,Humboldt,310953.0,365553.0
811,90814,Long Beach,Los Angeles,621473.0,747140.0
812,91602,North Hollywood,Los Angeles,768227.0,944852.0
813,94563,Orinda,Contra Costa,429532.0,2205912.0
814,92603,Irvine,Orange,1271232.0,1325965.0
815,90254,Hermosa Beach,Los Angeles,1607179.0,1801551.0
816,92586,Sun City,Riverside,211374.0,280030.0
817,94022,Los Altos,Santa Clara,3491405.0,3809295.0
818,91381,Stevenson Ranch,Los Angeles,684294.0,785003.0
819,92029,Escondido,San Diego,651448.0,753747.0
820,90210,Beverly Hills,Los Angeles,4676895.0,4982868.0
821,94564,Pinole,Contra Costa,429532.0,514941.0
822,91390,Santa Clarita,Los Angeles,577645.0,668272.0
823,91345,Mission Hills,Los Angeles,454457.0,564291.0
824,94945,Novato,Marin,792233.0,872159.0
825,91902,Bonita,San Diego,594046.0,693781.0
826,93927,Greenfield,Monterey,284742.0,362403.0
827,93268,Taft,Kern,123013.0,134610.0
828,91204,Glendale,Los Angeles,511282.0,655311.0
829,92082,Valley Center,San Diego,537181.0,628758.0
830,94949,Novato,Marin,839333.0,952288.0
831,91506,Burbank,Los Angeles,703713.0,877417.0
832,91723,Covina,Los Angeles,459391.0,551685.0
833,96161,Truckee,Nevada,605200.0,711645.0
834,95959,Nevada City,Nevada,385322.0,460579.0
835,93210,Coalinga,Fresno,159248.0,192458.0
836,92371,Phelan,San Bernardino,228131.0,293505.0
837,93247,Lindsay,Tulare,157380.0,200451.0
838,92270,Rancho Mirage,Riverside,505342.0,550511.0
839,91901,Alpine,San Diego,556264.0,650278.0
840,94595,Walnut Creek,Contra Costa,1013543.0,1136033.0
841,93015,Fillmore,Ventura,386480.0,467967.0
842,90265,Malibu,Los Angeles,3130734.0,3300981.0
843,95366,Ripon,San Joaquin,391361.0,484683.0
844,90502,Torrance,Los Angeles,417799.0,537346.0
845,95602,Auburn,Placer,402662.0,497739.0
