"B25077_001E","B25077_001M","GEO_ID","NAME"
"Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","id","Geographic Area Name"
"762100","69328","1400000US06001436402","Census Tract 4364.02, Alameda County, California"
"524900","63914","1400000US06001436500","Census Tract 4365, Alameda County, California"
"516700","73591","1400000US06001436601","Census Tract 4366.01, Alameda County, California"
"591900","50068","1400000US06001436602","Census Tract 4366.02, Alameda County, California"
"544100","59528","1400000US06001436700","Census Tract 4367, Alameda County, California"
"565400","33360","1400000US06001436800","Census Tract 4368, Alameda County, California"
"577600","35018","1400000US06001436900","Census Tract 4369, Alameda County, California"
"533100","41521","1400000US06001437000","Census Tract 4370, Alameda County, California"
"667800","47189","1400000US06001437101","Census Tract 4371.01, Alameda County, California"
"473600","27538","1400000US06001437102","Census Tract 4371.02, Alameda County, California"
"625000","41719","1400000US06001437200","Census Tract 4372, Alameda County, California"
"574300","27359","1400000US06001437300","Census Tract 4373, Alameda County, California"
"556500","25810","1400000US06001437400","Census Tract 4374, Alameda County, California"
"570700","42206","1400000US06001437500","Census Tract 4375, Alameda County, California"
"561400","31420","1400000US06001437600","Census Tract 4376, Alameda County, California"
"435600","27250","1400000US06001437701","Census Tract 4377.01, Alameda County, California"
"460700","151380","1400000US06001437702","Census Tract 4377.02, Alameda County, California"
"596600","38097","1400000US06001437800","Census Tract 4378, Alameda County, California"
"518900","67791","1400000US06001437900","Census Tract 4379, Alameda County, California"
"651700","22237","1400000US06001438000","Census Tract 4380, Alameda County, California"
"646600","39360","1400000US06001438100","Census Tract 4381, Alameda County, California"
"389000","107683","1400000US06001438201","Census Tract 4382.01, Alameda County, California"
"517900","60255","1400000US06001438203","Census Tract 4382.03, Alameda County, California"
"306200","115979","1400000US06001438204","Census Tract 4382.04, Alameda County, California"
"512900","45644","1400000US06001438300","Census Tract 4383, Alameda County, California"
"518600","50159","1400000US06001438400","Census Tract 4384, Alameda County, California"
"561300","63070","1400000US06001440100","Census Tract 4401, Alameda County, California"
"617500","51045","1400000US06001440200","Census Tract 4402, Alameda County, California"
"739200","84061","1400000US06001440301","Census Tract 4403.01, Alameda County, California"
"702200","50207","1400000US06001440304","Census Tract 4403.04, Alameda County, California"
"809100","30296","1400000US06001440305","Census Tract 4403.05, Alameda County, California"
"602600","36933","1400000US06001440306","Census Tract 4403.06, Alameda County, California"
"312500","124263","1400000US06001440307","Census Tract 4403.07, Alameda County, California"
"728400","49262","1400000US06001440308","Census Tract 4403.08, Alameda County, California"
"791300","96669","1400000US06001440331","Census Tract 4403.31, Alameda County, California"
"990700","49160","1400000US06001440332","Census Tract 4403.32, Alameda County, California"
"858700","31081","1400000US06001440333","Census Tract 4403.33, Alameda County, California"
"732400","59644","1400000US06001440334","Census Tract 4403.34, Alameda County, California"
"886900","40405","1400000US06001440335","Census Tract 4403.35, Alameda County, California"
"739800","71069","1400000US06001440336","Census Tract 4403.36, Alameda County, California"
"864000","39412","1400000US06001441100","Census Tract 4411, Alameda County, California"
"898000","71779","1400000US06001441200","Census Tract 4412, Alameda County, California"
"1108600","126206","1400000US06001441301","Census Tract 4413.01, Alameda County, California"
"998200","54295","1400000US06001441302","Census Tract 4413.02, Alameda County, California"
"913300","70707","1400000US06001441401","Census Tract 4414.01, Alameda County, California"
"943200","41533","1400000US06001441402","Census Tract 4414.02, Alameda County, California"
"876200","23966","1400000US06001441501","Census Tract 4415.01, Alameda County, California"
"959600","48834","1400000US06001441503","Census Tract 4415.03, Alameda County, California"
"937700","41768","1400000US06001441521","Census Tract 4415.21, Alameda County, California"
"830600","40938","1400000US06001441522","Census Tract 4415.22, Alameda County, California"
"694100","48539","1400000US06001441523","Census Tract 4415.23, Alameda County, California"
"965900","59838","1400000US06001441524","Census Tract 4415.24, Alameda County, California"
"811500","46515","1400000US06001441601","Census Tract 4416.01, Alameda County, California"
"841000","46148","1400000US06001441602","Census Tract 4416.02, Alameda County, California"
"718500","66085","1400000US06001441700","Census Tract 4417, Alameda County, California"
"857300","32040","1400000US06001441800","Census Tract 4418, Alameda County, California"
"691500","47451","1400000US06001441921","Census Tract 4419.21, Alameda County, California"
"683500","156815","1400000US06001441923","Census Tract 4419.23, Alameda County, California"
"809800","49437","1400000US06001441924","Census Tract 4419.24, Alameda County, California"
"563100","179786","1400000US06001441925","Census Tract 4419.25, Alameda County, California"
"701900","71108","1400000US06001441926","Census Tract 4419.26, Alameda County, California"
"767100","59234","1400000US06001441927","Census Tract 4419.27, Alameda County, California"
"1651400","97252","1400000US06001442000","Census Tract 4420, Alameda County, California"
"1226700","85590","1400000US06001442100","Census Tract 4421, Alameda County, California"
"1452600","137003","1400000US06001442200","Census Tract 4422, Alameda County, California"
"861500","70291","1400000US06001442301","Census Tract 4423.01, Alameda County, California"
"823200","44580","1400000US06001442302","Census Tract 4423.02, Alameda County, California"
"787400","35974","1400000US06001442400","Census Tract 4424, Alameda County, California"
"799500","52659","1400000US06001442500","Census Tract 4425, Alameda County, California"
"934600","38190","1400000US06001442601","Census Tract 4426.01, Alameda County, California"
"974200","68274","1400000US06001442602","Census Tract 4426.02, Alameda County, California"
"892200","46764","1400000US06001442700","Census Tract 4427, Alameda County, California"
"733400","45720","1400000US06001442800","Census Tract 4428, Alameda County, California"
"806200","44930","1400000US06001442900","Census Tract 4429, Alameda County, California"
"808800","45309","1400000US06001443001","Census Tract 4430.01, Alameda County, California"
"858500","36637","1400000US06001443002","Census Tract 4430.02, Alameda County, California"
"1381200","94523","1400000US06001443102","Census Tract 4431.02, Alameda County, California"
"1921100","139090","1400000US06001443103","Census Tract 4431.03, Alameda County, California"
"1422300","143897","1400000US06001443104","Census Tract 4431.04, Alameda County, California"
"1507700","99706","1400000US06001443105","Census Tract 4431.05, Alameda County, California"
"2,000,000+","***","1400000US06001443200","Census Tract 4432, Alameda County, California"
"1151400","50416","1400000US06001443301","Census Tract 4433.01, Alameda County, California"
"677000","42873","1400000US06001443321","Census Tract 4433.21, Alameda County, California"
"1180100","35981","1400000US06001443322","Census Tract 4433.22, Alameda County, California"
"784800","56225","1400000US06001444100","Census Tract 4441, Alameda County, California"
"683300","28879","1400000US06001444200","Census Tract 4442, Alameda County, California"
"845800","56447","1400000US06001444301","Census Tract 4443.01, Alameda County, California"
"780900","100269","1400000US06001444302","Census Tract 4443.02, Alameda County, California"
"626500","55748","1400000US06001444400","Census Tract 4444, Alameda County, California"
"740700","59860","1400000US06001444500","Census Tract 4445, Alameda County, California"
"840100","24756","1400000US06001444601","Census Tract 4446.01, Alameda County, California"
"598400","39275","1400000US06001444602","Census Tract 4446.02, Alameda County, California"
"678400","30848","1400000US06001450101","Census Tract 4501.01, Alameda County, California"
"932500","36342","1400000US06001450102","Census Tract 4501.02, Alameda County, California"
"640200","46350","1400000US06001450200","Census Tract 4502, Alameda County, California"
"722800","34701","1400000US06001450300","Census Tract 4503, Alameda County, California"
"728000","49063","1400000US06001450400","Census Tract 4504, Alameda County, California"
"789800","36313","1400000US06001450501","Census Tract 4505.01, Alameda County, California"
"1052800","52013","1400000US06001450502","Census Tract 4505.02, Alameda County, California"
"1232600","318064","1400000US06001450601","Census Tract 4506.01, Alameda County, California"
"978200","44688","1400000US06001450602","Census Tract 4506.02, Alameda County, California"
"872400","17399","1400000US06001450603","Census Tract 4506.03, Alameda County, California"
"1079100","33351","1400000US06001450604","Census Tract 4506.04, Alameda County, California"
"951100","41622","1400000US06001450605","Census Tract 4506.05, Alameda County, California"
"1089600","29592","1400000US06001450606","Census Tract 4506.06, Alameda County, California"
"1085900","127913","1400000US06001450607","Census Tract 4506.07, Alameda County, California"
"1681500","109090","1400000US06001450701","Census Tract 4507.01, Alameda County, California"
"1002400","77692","1400000US06001450741","Census Tract 4507.41, Alameda County, California"
"832100","66074","1400000US06001450742","Census Tract 4507.42, Alameda County, California"
"797900","71938","1400000US06001450743","Census Tract 4507.43, Alameda County, California"
"932500","34851","1400000US06001450744","Census Tract 4507.44, Alameda County, California"
"951900","37552","1400000US06001450745","Census Tract 4507.45, Alameda County, California"
"866100","24229","1400000US06001450746","Census Tract 4507.46, Alameda County, California"
"645900","22472","1400000US06001450750","Census Tract 4507.50, Alameda County, California"
"1048200","33799","1400000US06001450751","Census Tract 4507.51, Alameda County, California"
"1210200","53288","1400000US06001450752","Census Tract 4507.52, Alameda County, California"
"874500","60359","1400000US06001451101","Census Tract 4511.01, Alameda County, California"
"1226800","48863","1400000US06001451102","Census Tract 4511.02, Alameda County, California"
"641600","28317","1400000US06001451201","Census Tract 4512.01, Alameda County, California"
"657900","17305","1400000US06001451202","Census Tract 4512.02, Alameda County, California"
"673900","34949","1400000US06001451300","Census Tract 4513, Alameda County, California"
"779200","60501","1400000US06001451401","Census Tract 4514.01, Alameda County, California"
"655000","21767","1400000US06001451403","Census Tract 4514.03, Alameda County, California"
"605800","33682","1400000US06001451404","Census Tract 4514.04, Alameda County, California"
"925300","81092","1400000US06001451501","Census Tract 4515.01, Alameda County, California"
"677600","27883","1400000US06001451503","Census Tract 4515.03, Alameda County, California"
"762300","71846","1400000US06001451504","Census Tract 4515.04, Alameda County, California"
"831400","29345","1400000US06001451505","Census Tract 4515.05, Alameda County, California"
"753000","69216","1400000US06001451506","Census Tract 4515.06, Alameda County, California"
"1022700","57897","1400000US06001451601","Census Tract 4516.01, Alameda County, California"
"726100","65537","1400000US06001451602","Census Tract 4516.02, Alameda County, California"
"666400","21875","1400000US06001451701","Census Tract 4517.01, Alameda County, California"
"845200","46222","1400000US06001451703","Census Tract 4517.03, Alameda County, California"
"815700","35035","1400000US06001451704","Census Tract 4517.04, Alameda County, California"
"-","**","1400000US06001981900","Census Tract 9819, Alameda County, California"
"480000","177242","1400000US06001982000","Census Tract 9820, Alameda County, California"
"778300","77423","1400000US06001983200","Census Tract 9832, Alameda County, California"
"-","**","1400000US06001990000","Census Tract 9900, Alameda County, California"
"365300","35223","1400000US06003010000","Census Tract 100, Alpine County, California"
"271900","19548","1400000US06005000101","Census Tract 1.01, Amador County, California"
"275000","34232","1400000US06005000102","Census Tract 1.02, Amador County, California"
"376300","38922","1400000US06005000200","Census Tract 2, Amador County, California"
